,feature,pyradiomics_feature_class,pyradiomics_notes,quantity_CodingSchemeDesignator,quantity_CodeValue,quantity_CodeMeaning,units_CodingSchemeDesignator,units_CodeValue,units_CodeMeaning
0,Elongation,shape,,IBSI,Q3CK,Elongation,UCUM,1,no units
1,Flatness,shape,,IBSI,N17B,Flatness,UCUM,1,no units
2,LeastAxisLength,shape,,IBSI,7J51,Least axis length,UCUM,mm,millimeter
3,MajorAxisLength,shape,,IBSI,TDIC,Major axis length,UCUM,mm,millimeter
4,Maximum3DDiameter,shape,https://pyradiomics.readthedocs.io/en/latest/features.html#radiomics.shape.RadiomicsShape.calculateDiameters,IBSI,L0JK,Maximum 3D diameter,UCUM,mm,millimeter
5,MeshVolume,shape,,IBSI,RNU0,Volume,UCUM,mm3,cubic millimeter
6,MinorAxisLength,shape,,IBSI,P9VJ,Minor axis length,UCUM,mm,millimeter
7,Sphericity,shape,,IBSI,QCFX,Sphericity,UCUM,1,no units
8,SurfaceArea,shape,Calculated using Marching Cubes,IBSI,C0JK,Surface area,UCUM,mm2,square millimeter
9,SurfaceVolumeRatio,shape,,IBSI,2PR5,Surface to volume ratio,UCUM,/mm,per millimeter
10,VoxelVolume,shape,,IBSI,YEKZ,Approximate volume,UCUM,mm3,cubic millimeter
11,10Percentile,firstorder,,IBSI,QG58,10th percentile,UCUM,1,no units
12,90Percentile,firstorder,,IBSI,8DWT,90th percentile,UCUM,1,no units
13,Energy,firstorder,,IBSI,N8CA,Energy,UCUM,1,no units
14,Entropy,firstorder,,IBSI,TLU2,Intensity histogram entropy,UCUM,1,no units
15,InterquartileRange,firstorder,,IBSI,SALO,Interquartile range,UCUM,1,no units
16,Maximum,firstorder,,IBSI,84IY,Maximum grey level,UCUM,1,no units
17,MeanAbsoluteDeviation,firstorder,,IBSI,4FUA,Mean absolute deviation,UCUM,1,no units
18,Mean,firstorder,,IBSI,Q4LE,Mean,UCUM,1,no units
19,Median,firstorder,,IBSI,Y12H,Median,UCUM,1,no units
20,Minimum,firstorder,,IBSI,1GSF,Minimum grey level,UCUM,1,no units
21,Range,firstorder,,IBSI,2OJQ,Range,UCUM,1,no units
22,RobustMeanAbsoluteDeviation,firstorder,,IBSI,1128,Robust mean absolute deviation,UCUM,1,no units
23,RootMeanSquared,firstorder,,IBSI,5ZWQ,Root mean square,UCUM,1,no units
24,Skewness,firstorder,,IBSI,KE2A,Skewness,UCUM,1,no units
25,Uniformity,firstorder,,IBSI,BJ5W,Intensity histogram uniformity,UCUM,1,no units
26,Variance,firstorder,,IBSI,ECT3,Variance,UCUM,1,no units
