SegmentDescription,recommendedDisplayRGBValue
Vertebrae C1,"[255, 186, 107]"
Vertebrae C2,"[193, 99, 36]"
Vertebrae C3,"[167, 117, 152]"
Vertebrae C4,"[250, 14, 116]"
Vertebrae C5,"[118, 40, 9]"
Vertebrae C6,"[253, 134, 125]"
Vertebrae C7,"[255, 0, 0]"
Vertebrae T1,"[0, 2, 145]"
Vertebrae T2,"[141, 186, 216]"
Vertebrae T3,"[30, 128, 188]"
Vertebrae T4,"[73, 228, 202]"
Vertebrae T5,"[8, 82, 73]"
Vertebrae T6,"[88, 119, 255]"
Vertebrae T7,"[109, 0, 145]"
Vertebrae T8,"[164, 216, 199]"
Vertebrae T9,"[96, 188, 62]"
Vertebrae T10,"[26, 97, 228]"
Vertebrae T11,"[16, 164, 144]"
Vertebrae T12,"[166, 89, 255]"
Vertebrae L1,"[255, 255, 1]"
Vertebrae L2,"[255, 144, 32]"
Vertebrae L3,"[157, 126, 0]"
Vertebrae L4,"[255, 255, 128]"
Vertebrae L5,"[117, 78, 55]"
Left rib 1,"[0, 2, 145]"
Left rib 2,"[141, 186, 216]"
Left rib 3,"[30, 128, 188]"
Left rib 4,"[73, 228, 202]"
Left rib 5,"[8, 82, 73]"
Left rib 6,"[88, 119, 255]"
Left rib 7,"[0, 2, 145]"
Left rib 8,"[141, 186, 216]"
Left rib 9,"[30, 128, 188]"
Left rib 10,"[73, 228, 202]"
Left rib 11,"[8, 82, 73]"
Left rib 12,"[88, 119, 255]"
Right rib 1,"[0, 2, 145]"
Right rib 2,"[141, 186, 216]"
Right rib 3,"[30, 128, 188]"
Right rib 4,"[73, 228, 202]"
Right rib 5,"[8, 82, 73]"
Right rib 6,"[88, 119, 255]"
Right rib 7,"[0, 2, 145]"
Right rib 8,"[141, 186, 216]"
Right rib 9,"[30, 128, 188]"
Right rib 10,"[73, 228, 202]"
Right rib 11,"[8, 82, 73]"
Right rib 12,"[88, 119, 255]"
Stomach,"[160, 139, 76]"
Right lower lung lobe,"[212, 191, 32]"
Left atrium,"[221, 129, 37]"
Right atrium,"[221, 129, 37]"
