,Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTAcceptableTerms
0,spleen,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,78961009,Spleen,"['Splenic structure', 'Splenic structure (body structure)']",['Spleen'],,,,[],[]
1,kidney_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,64033007,Kidney,"['Kidney structure (body structure)', 'Kidney structure']","['Renal structure', 'Kidney']",SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
2,kidney_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,64033007,Kidney,"['Kidney structure (body structure)', 'Kidney structure']","['Renal structure', 'Kidney']",SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
3,gallbladder,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,28231008,Gallbladder,"['Gallbladder structure (body structure)', 'Gallbladder structure']","['Gallbladder', 'Gall bladder']",,,,[],[]
4,liver,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,10200004,Liver,"['Liver structure (body structure)', 'Liver structure']",['Liver'],,,,[],[]
5,stomach,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,69695003,Stomach,"['Stomach structure (body structure)', 'Stomach structure']","['Stomach', 'Ventriculus']",,,,[],[]
6,aorta,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,15825003,Aorta,"['Aortic structure', 'Aortic structure (body structure)']",['Aorta'],,,,[],[]
7,inferior_vena_cava,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,64131007,Inferior vena cava,"['Inferior vena cava structure (body structure)', 'Inferior vena cava structure']","['Inferior vena cava', 'Posterior vena cava']",,,,[],[]
8,portal_vein_and_splenic_vein,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,32764006,Portal vein,"['Portal vein structure (body structure)', 'Portal vein structure']",['Portal vein'],,,,[],[]
9,pancreas,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,15776009,Pancreas,"['Pancreatic structure', 'Pancreatic structure (body structure)']","['Exocrine and endocrine pancreas', 'Pancreas']",,,,[],[]
