,Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTAcceptableTerms
0,adrenal_gland_left,SCT,123037004,Anatomical Structure,SCT,23451007,Adrenal gland,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Adrenal structure (body structure)', 'Adrenal structure']",['Adrenal gland'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
1,adrenal_gland_right,SCT,123037004,Anatomical Structure,SCT,23451007,Adrenal gland,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Adrenal structure (body structure)', 'Adrenal structure']",['Adrenal gland'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
2,aorta,SCT,123037004,Anatomical Structure,SCT,15825003,Aorta,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Aortic structure', 'Aortic structure (body structure)']",['Aorta'],[],[]
3,autochthon_left,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of deep muscle of back (body structure)', 'Deep muscle of back']",['Structure of deep muscle of back'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
4,autochthon_right,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of deep muscle of back (body structure)', 'Deep muscle of back']",['Structure of deep muscle of back'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
5,brain,SCT,123037004,Anatomical Structure,SCT,12738006,Brain,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Brain structure (body structure)', 'Brain structure']",['Brain'],[],[]
6,clavicula_left,SCT,123037004,Anatomical Structure,SCT,51299004,Clavicle,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of clavicle (body structure)', 'Bone structure of clavicle']","['Collar bone', 'Clavicle']","['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
7,clavicula_right,SCT,123037004,Anatomical Structure,SCT,51299004,Clavicle,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of clavicle (body structure)', 'Bone structure of clavicle']","['Collar bone', 'Clavicle']","['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
8,colon,SCT,123037004,Anatomical Structure,SCT,71854001,Colon,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Colon structure', 'Colon structure (body structure)']",['Colon'],[],[]
9,duodenum,SCT,123037004,Anatomical Structure,SCT,38848004,Duodenum,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Duodenal structure (body structure)', 'Duodenal structure']",['Duodenum'],[],[]
10,esophagus,SCT,123037004,Anatomical Structure,SCT,32849002,Esophagus,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Esophageal structure (body structure)', 'Esophageal structure']",['Esophagus'],[],[]
11,face,SCT,123037004,Anatomical Structure,SCT,89545001,Face,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Face structure', 'Face structure (body structure)']",['Face'],[],[]
12,femur_left,SCT,123037004,Anatomical Structure,SCT,71341001,Femur,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of femur', 'Bone structure of femur (body structure)']",['Femur'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
13,femur_right,SCT,123037004,Anatomical Structure,SCT,71341001,Femur,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of femur', 'Bone structure of femur (body structure)']",['Femur'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
14,gallbladder,SCT,123037004,Anatomical Structure,SCT,28231008,Gallbladder,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Gallbladder structure (body structure)', 'Gallbladder structure']","['Gallbladder', 'Gall bladder']",[],[]
15,gluteus_maximus_left,SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Entire gluteus maximus muscle', 'Entire gluteus maximus muscle (body structure)']",['Entire gluteus maximus'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
16,gluteus_maximus_right,SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Entire gluteus maximus muscle', 'Entire gluteus maximus muscle (body structure)']",['Entire gluteus maximus'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
17,gluteus_medius_left,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of gluteus medius muscle (body structure)', 'Structure of gluteus medius muscle']",['Gluteus medius muscle'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
