entity:twoVM_full_id	SeriesInstanceUIDs	idc-version	n_series	sum_voxels	sum_slices	sum_size_MB	max_slices
1	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.182053375535223281219665879084232148666"", ""1.3.6.1.4.1.14519.5.2.1.293699020387085267782351874754622727559"", ""1.3.6.1.4.1.14519.5.2.1.206132222017587597380527114062"", ""1.3.6.1.4.1.14519.5.2.1.291904156417670926424332991547"", ""1.3.6.1.4.1.14519.5.2.1.207529392888153749370467626290"", ""1.3.6.1.4.1.14519.5.2.1.135562030057268461559471785188279370531""]}"	v24	6	289860096	1085	583.8	390
2	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.704432779593646761450448307781"", ""1.3.6.1.4.1.14519.5.2.1.771037570308862903081195193528"", ""1.3.6.1.4.1.14519.5.2.1.131221935280359966846645070066322409361"", ""1.3.6.1.4.1.14519.5.2.1.219780149937484018786052626400260268597"", ""1.3.6.1.4.1.14519.5.2.1.185674920625679305778890858709931210028"", ""1.3.6.1.4.1.14519.5.2.1.165828182752454381717001673743242691069""]}"	v24	6	308474880	1127	621.2	500
3	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.295718531745935467366492026634325737304"", ""1.3.6.1.4.1.14519.5.2.1.6676472749288476603505273342764306822"", ""1.3.6.1.4.1.14519.5.2.1.247080209481652659061118527374693271578"", ""1.3.6.1.4.1.14519.5.2.1.82890836138007198540879946765069017102"", ""1.3.6.1.4.1.14519.5.2.1.52655907759208830284849554783379643555"", ""1.3.6.1.4.1.14519.5.2.1.234384706325066261242547928049590677393"", ""1.3.6.1.4.1.14519.5.2.1.1.467427440346195067603633675688220656"", ""1.3.6.1.4.1.14519.5.2.1.75450567281312099628746145208720022737"", ""1.3.6.1.4.1.14519.5.2.1.249070004557484237979206638500626907314"", ""1.3.6.1.4.1.14519.5.2.1.1.12806298532161067152453685719136600641""]}"	v24	10	293863424	1121	591.6	293
4	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.146185239091765629167359837887358975678"", ""1.3.6.1.4.1.14519.5.2.1.1.68487354309659022488402692572200841228""]}"	v24	2	300679168	1147	605.4	1051
5	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.268712947673756107681041529001726454584"", ""1.3.6.1.4.1.14519.5.2.1.187372478388676370525902362034839455784"", ""1.3.6.1.4.1.14519.5.2.1.1.47662723912602613393697952100069653227"", ""1.3.6.1.4.1.14519.5.2.1.213816576452496051283624170434775613603"", ""1.3.6.1.4.1.14519.5.2.1.1.19665767396392545884461689144362221565"", ""1.3.6.1.4.1.14519.5.2.1.1.18562269340124619489944625880136005061"", ""1.3.6.1.4.1.14519.5.2.1.1.13803364538410406804553563678994858882""]}"	v24	7	299979776	805	602.9	215
6	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.278790374218624579953736826134057027726"", ""1.3.6.1.4.1.14519.5.2.1.6965894308841522017435612740021647758"", ""1.3.6.1.4.1.14519.5.2.1.304152501256887658127381509112473116187"", ""1.3.6.1.4.1.14519.5.2.1.1.10695873016694024397278227916285667849"", ""1.3.6.1.4.1.14519.5.2.1.1.25044230169331718516108876293862457118"", ""1.3.6.1.4.1.14519.5.2.1.1.25856928799599832585965686026547162491"", ""1.3.6.1.4.1.14519.5.2.1.1.31948448674117793687201744945713725807"", ""1.3.6.1.4.1.14519.5.2.1.1.24680555497669404707005894523260145166"", ""1.3.6.1.4.1.14519.5.2.1.1.99402651704794471697709996108996943502"", ""1.3.6.1.4.1.14519.5.2.1.262721560705999494002005648645608369423"", ""1.3.6.1.4.1.14519.5.2.1.218024596582812253057759238984542120121""]}"	v24	11	292200448	1082	588.0	250
7	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.32369454397147530876400286759945986446"", ""1.3.6.1.4.1.14519.5.2.1.1.18190510632876402766248310574788840262"", ""1.3.6.1.4.1.14519.5.2.1.133464719188199553918534011339230923473"", ""1.3.6.1.4.1.14519.5.2.1.32607543040381974426115313596653403"", ""1.3.6.1.4.1.14519.5.2.1.1.15175088659522817380104241607557655727""]}"	v24	5	223350784	700	449.0	248
8	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.213166996321878347507129577232312317020"", ""1.3.6.1.4.1.14519.5.2.1.217442038345962701274861357875206615239"", ""1.3.6.1.4.1.14519.5.2.1.1.15533872509112037615231283348807391858"", ""1.3.6.1.4.1.14519.5.2.1.1.10817705948882187705077267040835200005"", ""1.3.6.1.4.1.14519.5.2.1.1.30395750260700737393370468842062240608"", ""1.3.6.1.4.1.14519.5.2.1.1.11328665123112866207666599234752512573"", ""1.3.6.1.4.1.14519.5.2.1.1.26990946688443333435836546219063083484"", ""1.3.6.1.4.1.14519.5.2.1.1.33520193330513133528966521353461445142""]}"	v24	8	304220160	1152	612.3	359
9	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.23955107446949877868355274913049478403"", ""1.3.6.1.4.1.14519.5.2.1.281418205285536777819827415820306910039"", ""1.3.6.1.4.1.14519.5.2.1.58399395088918390180963795827645265321"", ""1.3.6.1.4.1.14519.5.2.1.222015997290709292633854312065994213327"", ""1.3.6.1.4.1.14519.5.2.1.17317882671069513381680477395439322262"", ""1.3.6.1.4.1.14519.5.2.1.78280871658359139518420924399070798454"", ""1.3.6.1.4.1.14519.5.2.1.202855259230748304188980642097494807818"", ""1.3.6.1.4.1.14519.5.2.1.176605978273678738053099418042930036630"", ""1.3.6.1.4.1.14519.5.2.1.294067628036042832431059243696111888870"", ""1.3.6.1.4.1.14519.5.2.1.77941962933021237045057308495803852322"", ""1.3.6.1.4.1.14519.5.2.1.1.13576462258396179626107943463646872548"", ""1.3.6.1.4.1.14519.5.2.1.1.21193965114188929273739694815826241303""]}"	v24	12	291554496	1011	586.3	126
10	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.30997972409152510840827951981998790422"", ""1.3.6.1.4.1.14519.5.2.1.1.16658507248646521418856146512410033763"", ""1.3.6.1.4.1.14519.5.2.1.1.32812914514580144030350215225415143035"", ""1.3.6.1.4.1.14519.5.2.1.1.22552653831825386454741110957868357483"", ""1.3.6.1.4.1.14519.5.2.1.1.24845685710758411731049743894641913176"", ""1.3.6.1.4.1.14519.5.2.1.1.12842405816435630375460244909913826480"", ""1.3.6.1.4.1.14519.5.2.1.261711760984157619455676858948632221470""]}"	v24	7	165465088	607	333.3	112
