entity:twoVM_pilot_id	SeriesInstanceUIDs	idc-version	n_series	sum_voxels	sum_slices	sum_size_MB	max_slices
1	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.90522608570344726295552444481646368709""]}"	v24	1	22282240	85	44.8	85
2	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.15440955486542620079082727028237094969""]}"	v24	1	87330000	123	175.1	123
3	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.153298288785287625324324370026"", ""1.3.6.1.4.1.14519.5.2.1.1.28395061007420188622993603164592065616"", ""1.3.6.1.4.1.14519.5.2.1.136112068388757645671367803211561236124""]}"	v24	3	44564480	170	89.7	61
4	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.7085.3273.301293349528002959328550386380"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.456053652639947047218377533766"", ""1.3.6.1.4.1.14519.5.2.1.1.30562432130772188284972307783416440767""]}"	v24	3	229900288	877	463.5	517
5	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.8836506057865820723993875413030306461"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.167955160116991372007788548926"", ""1.3.6.1.4.1.14519.5.2.1.7085.2626.203408914239584700932112033284"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.248370997489288146432609081866"", ""1.3.6.1.4.1.14519.5.2.1.61364649277007703102277837214518261845"", ""1.3.6.1.4.1.14519.5.2.1.292589357673607542227890760037401905316""]}"	v24	6	107741184	411	216.8	79
6	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.39843524533510737103859964880387467783"", ""1.3.6.1.4.1.14519.5.2.1.1.14855134927184086360543785534660672601"", ""1.3.6.1.4.1.14519.5.2.1.161064628006862543026607578668502022762"", ""1.3.6.1.4.1.14519.5.2.1.283333097533369136973412484864301621268"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.215174973430588575563119954464"", ""1.3.6.1.4.1.14519.5.2.1.1.31753216304342670599132494295343949490""]}"	v24	6	604240896	2095	1216.2	793
7	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.254014242418685646270634926073019655807"", ""1.3.6.1.4.1.14519.5.2.1.284221515514741857796620190549360234338"", ""1.3.6.1.4.1.14519.5.2.1.1.33618422411402672471306262893755238750"", ""1.3.6.1.4.1.14519.5.2.1.222553156379411490038371439778558104785"", ""1.3.6.1.4.1.14519.5.2.1.7085.3273.137829939557468038740191221297"", ""1.3.6.1.4.1.14519.5.2.1.1078.3273.269337454754528314534496192067"", ""1.3.6.1.4.1.14519.5.2.1.54708240854976896778470458695623718718"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.978107389787462799234886989553"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.317965747178938371535058820369"", ""1.3.6.1.4.1.14519.5.2.1.1.15226589047145309971378147793890118293""]}"	v24	10	172228608	657	346.9	96
8	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.280371968708575970471974735015"", ""1.3.6.1.4.1.14519.5.2.1.1.21374432341638678252528702398608696860"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.269419358721971772074878139271"", ""1.3.6.1.4.1.14519.5.2.1.1.15324191295546200181772410660694068408"", ""1.3.6.1.4.1.14519.5.2.1.296291093572155562829671916795163737577"", ""1.3.6.1.4.1.14519.5.2.1.1078.3754.191489693724506398749941289152"", ""1.3.6.1.4.1.14519.5.2.1.2932.1975.255385954949029816205383485313"", ""1.3.6.1.4.1.14519.5.2.1.4801.5885.334450166307207073916857897618"", ""1.3.6.1.4.1.14519.5.2.1.2099.3754.892505134872172932835694666074"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.130644819815356697899228251012""]}"	v24	10	971440128	3647	1955.8	813
9	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.10970988989166864944017241757959002291""]}"	v24	1	29884416	114	60.1	114
10	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.252944969728648794518341317927114148465"", ""1.3.6.1.4.1.14519.5.2.1.186145996486158470339052466575012947434"", ""1.3.6.1.4.1.14519.5.2.1.1.12380753996126483643651270060063471266""]}"	v24	3	89931776	337	181.2	123
