entity:twoVM_060823_id	dcm2niixErrors	dicomsegAndRadiomicsSR_CompressedFiles	dicomsegAndRadiomicsSR_Errors	dicomsegAndRadiomicsSR_OutputNotebook	dicomsegAndRadiomicsSR_UsageMetrics	dicomToNiftiConverterTool	downloadDicomAndConvertAndInferenceTotalSegmentatorOutputNotebook	downloadDicomAndConvertAndInferenceTotalSegmentatorUsageMetrics	pyradiomicsRadiomicsFeatures	s5cmdUrls	structuredReportsDICOM	structuredReportsJSON	totalsegmentatorErrors
batch1		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/05f775a9-7545-4d84-9256-efce6010a2c7/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/05f775a9-7545-4d84-9256-efce6010a2c7/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/05f775a9-7545-4d84-9256-efce6010a2c7/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/05f775a9-7545-4d84-9256-efce6010a2c7/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/05f775a9-7545-4d84-9256-efce6010a2c7/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/05f775a9-7545-4d84-9256-efce6010a2c7/call-dicomsegAndRadiomicsSR/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_1.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/05f775a9-7545-4d84-9256-efce6010a2c7/call-dicomsegAndRadiomicsSR/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/05f775a9-7545-4d84-9256-efce6010a2c7/call-dicomsegAndRadiomicsSR/structuredReportsJSON.tar.lz4	
batch10		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/c9cdcab3-7101-460c-9eb0-16111f04e4d6/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/c9cdcab3-7101-460c-9eb0-16111f04e4d6/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/c9cdcab3-7101-460c-9eb0-16111f04e4d6/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/c9cdcab3-7101-460c-9eb0-16111f04e4d6/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/c9cdcab3-7101-460c-9eb0-16111f04e4d6/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/c9cdcab3-7101-460c-9eb0-16111f04e4d6/call-dicomsegAndRadiomicsSR/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_10.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/c9cdcab3-7101-460c-9eb0-16111f04e4d6/call-dicomsegAndRadiomicsSR/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/81ee90cb-47aa-4a1e-912c-c866a6c8421c/TotalSegmentator/c9cdcab3-7101-460c-9eb0-16111f04e4d6/call-dicomsegAndRadiomicsSR/structuredReportsJSON.tar.lz4	
batch11		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/d3f48a6d-25a0-4d3e-a216-98e70e192a6a/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/d3f48a6d-25a0-4d3e-a216-98e70e192a6a/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/d3f48a6d-25a0-4d3e-a216-98e70e192a6a/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/d3f48a6d-25a0-4d3e-a216-98e70e192a6a/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/d3f48a6d-25a0-4d3e-a216-98e70e192a6a/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/d3f48a6d-25a0-4d3e-a216-98e70e192a6a/call-dicomsegAndRadiomicsSR/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_11.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/d3f48a6d-25a0-4d3e-a216-98e70e192a6a/call-dicomsegAndRadiomicsSR/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/d3f48a6d-25a0-4d3e-a216-98e70e192a6a/call-dicomsegAndRadiomicsSR/structuredReportsJSON.tar.lz4	
batch12		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/5cd125b8-9e36-40a5-97b9-26dd1f0b8119/call-dicomsegAndRadiomicsSR/attempt-4/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/5cd125b8-9e36-40a5-97b9-26dd1f0b8119/call-dicomsegAndRadiomicsSR/attempt-4/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/5cd125b8-9e36-40a5-97b9-26dd1f0b8119/call-dicomsegAndRadiomicsSR/attempt-4/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/5cd125b8-9e36-40a5-97b9-26dd1f0b8119/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/5cd125b8-9e36-40a5-97b9-26dd1f0b8119/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/5cd125b8-9e36-40a5-97b9-26dd1f0b8119/call-dicomsegAndRadiomicsSR/attempt-4/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_12.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/5cd125b8-9e36-40a5-97b9-26dd1f0b8119/call-dicomsegAndRadiomicsSR/attempt-4/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/5cd125b8-9e36-40a5-97b9-26dd1f0b8119/call-dicomsegAndRadiomicsSR/attempt-4/structuredReportsJSON.tar.lz4	
batch13		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/f5b52488-838f-47cf-9b79-a583eff7d1b8/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/f5b52488-838f-47cf-9b79-a583eff7d1b8/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/f5b52488-838f-47cf-9b79-a583eff7d1b8/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/f5b52488-838f-47cf-9b79-a583eff7d1b8/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/f5b52488-838f-47cf-9b79-a583eff7d1b8/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/f5b52488-838f-47cf-9b79-a583eff7d1b8/call-dicomsegAndRadiomicsSR/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_13.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/f5b52488-838f-47cf-9b79-a583eff7d1b8/call-dicomsegAndRadiomicsSR/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/f5b52488-838f-47cf-9b79-a583eff7d1b8/call-dicomsegAndRadiomicsSR/structuredReportsJSON.tar.lz4	
batch14		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/8e6037fd-bb9e-4c1f-80e6-1618358fe566/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/8e6037fd-bb9e-4c1f-80e6-1618358fe566/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/8e6037fd-bb9e-4c1f-80e6-1618358fe566/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/8e6037fd-bb9e-4c1f-80e6-1618358fe566/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/8e6037fd-bb9e-4c1f-80e6-1618358fe566/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/8e6037fd-bb9e-4c1f-80e6-1618358fe566/call-dicomsegAndRadiomicsSR/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_14.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/8e6037fd-bb9e-4c1f-80e6-1618358fe566/call-dicomsegAndRadiomicsSR/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/8e6037fd-bb9e-4c1f-80e6-1618358fe566/call-dicomsegAndRadiomicsSR/structuredReportsJSON.tar.lz4	
batch15		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/043013a7-412c-42b7-9912-f3b7f645c34e/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/043013a7-412c-42b7-9912-f3b7f645c34e/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/043013a7-412c-42b7-9912-f3b7f645c34e/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/043013a7-412c-42b7-9912-f3b7f645c34e/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/043013a7-412c-42b7-9912-f3b7f645c34e/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/043013a7-412c-42b7-9912-f3b7f645c34e/call-dicomsegAndRadiomicsSR/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_15.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/043013a7-412c-42b7-9912-f3b7f645c34e/call-dicomsegAndRadiomicsSR/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/043013a7-412c-42b7-9912-f3b7f645c34e/call-dicomsegAndRadiomicsSR/structuredReportsJSON.tar.lz4	
batch16		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/323c1117-e300-4a9b-af00-fd6b2d0513ee/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/323c1117-e300-4a9b-af00-fd6b2d0513ee/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/323c1117-e300-4a9b-af00-fd6b2d0513ee/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/323c1117-e300-4a9b-af00-fd6b2d0513ee/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/323c1117-e300-4a9b-af00-fd6b2d0513ee/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/323c1117-e300-4a9b-af00-fd6b2d0513ee/call-dicomsegAndRadiomicsSR/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_16.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/323c1117-e300-4a9b-af00-fd6b2d0513ee/call-dicomsegAndRadiomicsSR/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/323c1117-e300-4a9b-af00-fd6b2d0513ee/call-dicomsegAndRadiomicsSR/structuredReportsJSON.tar.lz4	
batch17		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/6cd5d844-bbb4-4374-934a-4e0801af819c/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/6cd5d844-bbb4-4374-934a-4e0801af819c/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/6cd5d844-bbb4-4374-934a-4e0801af819c/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/6cd5d844-bbb4-4374-934a-4e0801af819c/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/6cd5d844-bbb4-4374-934a-4e0801af819c/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/6cd5d844-bbb4-4374-934a-4e0801af819c/call-dicomsegAndRadiomicsSR/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_17.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/6cd5d844-bbb4-4374-934a-4e0801af819c/call-dicomsegAndRadiomicsSR/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/6cd5d844-bbb4-4374-934a-4e0801af819c/call-dicomsegAndRadiomicsSR/structuredReportsJSON.tar.lz4	
batch18		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/431affeb-23dd-4090-b578-4c547385a2ca/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_DICOMsegFiles.tar.lz4		gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/431affeb-23dd-4090-b578-4c547385a2ca/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_OutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/431affeb-23dd-4090-b578-4c547385a2ca/call-dicomsegAndRadiomicsSR/dicomsegAndRadiomicsSR_UsageMetrics.lz4	dcm2niix	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/431affeb-23dd-4090-b578-4c547385a2ca/call-downloadDicomAndConvertAndInferenceTotalSegmentator/downloadDicomAndConvertAndInferenceTotalSegmentatorOutputJupyterNotebook.ipynb	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/431affeb-23dd-4090-b578-4c547385a2ca/call-downloadDicomAndConvertAndInferenceTotalSegmentator/inferenceUsageMetrics.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/431affeb-23dd-4090-b578-4c547385a2ca/call-dicomsegAndRadiomicsSR/pyradiomicsRadiomicsFeatures.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/nlstS5cmdUrls/batch_18.csv	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/431affeb-23dd-4090-b578-4c547385a2ca/call-dicomsegAndRadiomicsSR/structuredReportsDICOM.tar.lz4	gs://fc-5af492dc-6993-4c91-bbf6-3e2747868642/submissions/4eb81ea3-dd59-4a39-b186-819b529d1841/TotalSegmentator/431affeb-23dd-4090-b578-4c547385a2ca/call-dicomsegAndRadiomicsSR/structuredReportsJSON.tar.lz4	
