"model","label_name","label_id","SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator","SegmentedPropertyCategoryCodeSequence.CodeValue","SegmentedPropertyCategoryCodeSequence.CodeMeaning","SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeCodeSequence.CodeValue","SegmentedPropertyTypeCodeSequence.CodeMeaning","SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeModifierCodeSequence.CodeValue","SegmentedPropertyTypeModifierCodeSequence.CodeMeaning","AnatomicRegionSequence.CodingSchemeDesignator","AnatomicRegionSequence.CodeValue","AnatomicRegionSequence.CodeMeaning","AnatomicRegionModifierSequence.CodingSchemeDesignator","AnatomicRegionModifierSequence.CodeValue","AnatomicRegionModifierSequence.CodeMeaning","recommendedDisplayRGBValue"
"total","adrenal_gland_left","","SCT","123037004","Anatomical Structure","SCT","23451007","Adrenal gland","SCT","7771000","Left","","","","","","","[199, 27, 27]"
"total","adrenal_gland_right","","SCT","123037004","Anatomical Structure","SCT","23451007","Adrenal gland","SCT","24028007","Right","","","","","","","[199, 27, 27]"
"total","aorta","","SCT","123037004","Anatomical Structure","SCT","15825003","Aorta","","","","","","","","","","[224, 97, 76]"
"total","autochthon_left","","SCT","123037004","Anatomical Structure","SCT","244849004","Deep muscle of back","SCT","7771000","Left","","","","","","","[192, 104, 88]"
"total","autochthon_right","","SCT","123037004","Anatomical Structure","SCT","244849004","Deep muscle of back","SCT","24028007","Right","","","","","","","[192, 104, 88]"
"total","brain","","SCT","123037004","Anatomical Structure","SCT","12738006","Brain","","","","","","","","","","[250, 250, 225]"
"total","clavicula_left","","SCT","123037004","Anatomical Structure","SCT","51299004","Clavicle","SCT","7771000","Left","","","","","","","[241, 188, 38]"
"total","clavicula_right","","SCT","123037004","Anatomical Structure","SCT","51299004","Clavicle","SCT","24028007","Right","","","","","","","[241, 188, 38]"
"total","colon","","SCT","123037004","Anatomical Structure","SCT","71854001","Colon","","","","","","","","","","[204, 168, 143]"
"total","duodenum","","SCT","123037004","Anatomical Structure","SCT","38848004","Duodenum","","","","","","","","","","[255, 253, 229]"
"total","esophagus","","SCT","123037004","Anatomical Structure","SCT","32849002","Esophagus","","","","","","","","","","[211, 171, 143]"
"total","face","","SCT","123037004","Anatomical Structure","SCT","89545001","Face","","","","","","","","","","[255, 182, 193]"
"total","femur_left","","SCT","123037004","Anatomical Structure","SCT","71341001","Femur","SCT","7771000","Left","","","","","","","[130, 222, 207]"
"total","femur_right","","SCT","123037004","Anatomical Structure","SCT","71341001","Femur","SCT","24028007","Right","","","","","","","[130, 222, 207]"
"total","gallbladder","","SCT","123037004","Anatomical Structure","SCT","28231008","Gallbladder","","","","","","","","","","[139, 150, 98]"
"total","gluteus_maximus_left","","SCT","123037004","Anatomical Structure","SCT","181674001","Gluteus maximus muscle","SCT","7771000","Left","","","","","","","[192, 104, 88]"
"total","gluteus_maximus_right","","SCT","123037004","Anatomical Structure","SCT","181674001","Gluteus maximus muscle","SCT","24028007","Right","","","","","","","[192, 104, 88]"
"total","gluteus_medius_left","","SCT","123037004","Anatomical Structure","SCT","78333006","Gluteus medius muscle","SCT","7771000","Left","","","","","","","[192, 104, 88]"
"total","gluteus_medius_right","","SCT","123037004","Anatomical Structure","SCT","78333006","Gluteus medius muscle","SCT","24028007","Right","","","","","","","[192, 104, 88]"
"total","gluteus_minimus_left","","SCT","123037004","Anatomical Structure","SCT","75297007","Gluteus minius muscle","SCT","7771000","Left","","","","","","","[192, 104, 88]"
"total","gluteus_minimus_right","","SCT","123037004","Anatomical Structure","SCT","75297007","Gluteus minius muscle","SCT","24028007","Right","","","","","","","[192, 104, 88]"
"total","heart_atrium_left","","SCT","123037004","Anatomical Structure","SCT","82471001","Left atrium","","","","","","","","","","[221, 129, 37]"
"total","heart_atrium_right","","SCT","123037004","Anatomical Structure","SCT","73829009","Right atrium","","","","","","","","","","[221, 129, 37]"
"total","heart_myocardium","","SCT","123037004","Anatomical Structure","SCT","74281007","Myocardium","","","","","","","","","","[192, 104, 88]"
"total","heart_ventricle_left","","SCT","123037004","Anatomical Structure","SCT","87878005","Left ventricle of heart","","","","","","","","","","[152, 55, 13]"
"total","heart_ventricle_right","","SCT","123037004","Anatomical Structure","SCT","53085002","Right ventricle of heart","","","","","","","","","","[181, 85, 57]"
"total","hip_left","","SCT","123037004","Anatomical Structure","SCT","29836001","Hip","SCT","7771000","Left","","","","","","","[241, 214, 145]"
"total","hip_right","","SCT","123037004","Anatomical Structure","SCT","29836001","Hip","SCT","24028007","Right","","","","","","","[241, 214, 145]"
"total","humerus_left","","SCT","123037004","Anatomical Structure","SCT","85050009","Humerus","SCT","7771000","Left","","","","","","","[95, 229, 185]"
"total","humerus_right","","SCT","123037004","Anatomical Structure","SCT","85050009","Humerus","SCT","24028007","Right","","","","","","","[95, 229, 185]"
"total","iliac_artery_left","","SCT","123037004","Anatomical Structure","SCT","73634005","Common iliac artery","SCT","7771000","Left","","","","","","","[217, 162, 48]"
"total","iliac_artery_right","","SCT","123037004","Anatomical Structure","SCT","73634005","Common iliac artery","SCT","24028007","Right","","","","","","","[217, 162, 48]"
"total","iliac_vena_left","","SCT","123037004","Anatomical Structure","SCT","46027005","Common iliac vein","SCT","7771000","Left","","","","","","","[197, 174, 37]"
"total","iliac_vena_right","","SCT","123037004","Anatomical Structure","SCT","46027005","Common iliac vein","SCT","24028007","Right","","","","","","","[197, 174, 37]"
"total","iliopsoas_left","","SCT","123037004","Anatomical Structure","SCT","68455001","Iliopsoas muscle","SCT","7771000","Left","","","","","","","[192, 104, 88]"
"total","iliopsoas_right","","SCT","123037004","Anatomical Structure","SCT","68455001","Iliopsoas muscle","SCT","24028007","Right","","","","","","","[192, 104, 88]"
"total","inferior_vena_cava","","SCT","123037004","Anatomical Structure","SCT","64131007","Inferior vena cava","","","","","","","","","","[110, 165, 54]"
"total","kidney_left","","SCT","123037004","Anatomical Structure","SCT","64033007","Kidney","SCT","7771000","Left","","","","","","","[212, 126, 151]"
